cosine_distance,photoid,label,longitude,latitude, downloadurl,uid,datetaken,corepoint
0.0,5462290150,6,141.35305,43.068258,http://farm6.staticflickr.com/5258/5462290150_48bba8f9eb.jpg,7192664@N07,2010-12-25 16:55:21.0,1
0.02969654997426907,5461692217,6,141.35275,43.068325,http://farm6.staticflickr.com/5212/5461692217_96c996d50e.jpg,7192664@N07,2010-12-25 16:59:31.0,0
0.031007922900455065,5461696657,6,141.352616,43.068208,http://farm6.staticflickr.com/5256/5461696657_b4b67b1442.jpg,7192664@N07,2010-12-25 17:10:35.0,0
0.06207967845096707,13941972182,6,141.352163,43.067913,http://farm8.staticflickr.com/7168/13941972182_f2624a2856.jpg,89759987@N06,2014-02-01 17:08:57.0,0
0.07014317592383112,13504970884,6,141.35244,43.068281,http://farm3.staticflickr.com/2881/13504970884_22b49bd605.jpg,94735786@N00,2010-02-09 18:05:01.0,0
0.0718018520688033,5908407512,6,141.352415,43.068511,http://farm7.staticflickr.com/6028/5908407512_6cdd779cd2.jpg,35768116@N02,2011-06-19 22:37:48.0,0
0.07226205355609738,13657823345,6,141.35244,43.068281,http://farm4.staticflickr.com/3729/13657823345_f4f80b9715.jpg,94735786@N00,2010-02-09 17:50:48.0,0
0.09705442161088706,7034572659,6,141.352972,43.068103,http://farm8.staticflickr.com/7201/7034572659_cbebebef62.jpg,62942199@N08,2012-04-01 15:37:48.0,0
0.10395881455839984,5462285176,6,141.352608,43.068277,http://farm6.staticflickr.com/5134/5462285176_f65bf15af7.jpg,7192664@N07,2010-12-25 16:48:58.0,0
0.11692770175644085,5461701659,6,141.352825,43.068113,http://farm6.staticflickr.com/5294/5461701659_fd94fe90ba.jpg,7192664@N07,2010-12-25 17:17:11.0,0
0.12332980752749956,13658154324,6,141.35244,43.068281,http://farm8.staticflickr.com/7160/13658154324_6275a3f97d.jpg,94735786@N00,2010-02-09 17:48:05.0,0
0.12943747440404296,13965143473,6,141.352566,43.068672,http://farm8.staticflickr.com/7015/13965143473_a402bc117b.jpg,89759987@N06,2014-02-01 17:23:59.0,0
0.14062896905837863,5462280344,6,141.352777,43.068111,http://farm6.staticflickr.com/5213/5462280344_22c23dff0c.jpg,7192664@N07,2010-12-25 16:46:44.0,0
0.16838097512833472,482266939,6,141.353,43.068269,http://farm1.staticflickr.com/185/482266939_e4b26b3cc7.jpg,8100386@N04,2004-03-07 18:55:41.0,0
0.1759273684952013,6811826517,6,141.352667,43.068248,http://farm8.staticflickr.com/7033/6811826517_4b3643074c.jpg,28685313@N00,2012-02-03 22:53:02.0,0
0.17975597163647639,13965145173,6,141.352113,43.068105,http://farm8.staticflickr.com/7208/13965145173_56503b8b5b.jpg,89759987@N06,2014-02-01 16:49:11.0,0
0.18088909683053456,13941985451,6,141.352477,43.068163,http://farm6.staticflickr.com/5589/13941985451_0bc7054121.jpg,89759987@N06,2014-02-01 17:15:13.0,0
0.18099493454773208,7034563525,6,141.35293,43.068135,http://farm8.staticflickr.com/7251/7034563525_11c4be3237.jpg,62942199@N08,2012-04-01 15:31:23.0,0
0.1874971060963776,6888481058,6,141.352972,43.068151,http://farm8.staticflickr.com/7046/6888481058_7892c0641b.jpg,62942199@N08,2012-04-01 15:39:05.0,0
0.20155339802252503,6888476630,6,141.35293,43.068072,http://farm8.staticflickr.com/7094/6888476630_03a8800175.jpg,62942199@N08,2012-04-01 15:34:04.0,0
0.21225402567772944,6888468626,6,141.352972,43.068151,http://farm8.staticflickr.com/7254/6888468626_8c44cf3760.jpg,62942199@N08,2012-04-01 15:31:14.0,0
0.21255558460117574,7034568133,6,141.352972,43.068198,http://farm8.staticflickr.com/7243/7034568133_136d79d2be.jpg,62942199@N08,2012-04-01 15:33:07.0,0
0.2217441578583812,6816362823,6,141.352667,43.068248,http://farm8.staticflickr.com/7002/6816362823_71567f9b56.jpg,28685313@N00,2012-02-04 20:43:33.0,0
0.22478263871137505,6888472220,6,141.352972,43.068151,http://farm8.staticflickr.com/7192/6888472220_5ed67c31d7.jpg,62942199@N08,2012-04-01 15:32:58.0,0
0.2265934069771942,9065879923,6,141.352833,43.068,http://farm4.staticflickr.com/3820/9065879923_981f1fc24f.jpg,73344268@N00,2012-09-17 09:47:20.0,0
0.2542760418040333,7994131587,6,141.352415,43.068174,http://farm9.staticflickr.com/8438/7994131587_f54c687880.jpg,73344268@N00,2012-09-17 09:42:42.0,0
0.2729593622787426,8237408790,6,141.352167,43.068167,http://farm9.staticflickr.com/8489/8237408790_e70516c679.jpg,54485869@N06,2012-12-01 17:49:04.0,0
0.2822395310252477,6888467348,6,141.35293,43.068072,http://farm8.staticflickr.com/7131/6888467348_d89ffd4e99.jpg,62942199@N08,2012-04-01 15:28:15.0,0
0.3166806927885838,5842589162,6,141.353,43.068269,http://farm3.staticflickr.com/2500/5842589162_6d531dd9f5.jpg,8100386@N04,2011-06-17 23:45:35.0,0
0.33076043109492614,8636664646,6,141.352715,43.068981,http://farm9.staticflickr.com/8525/8636664646_64b6c07217.jpg,77939791@N00,2013-04-10 10:58:27.0,0
0.33633085619786585,8618405180,6,141.352651,43.068872,http://farm9.staticflickr.com/8124/8618405180_7cc39e97b4.jpg,77939791@N00,2013-04-04 10:56:29.0,0
0.3370920523007598,6888465728,6,141.352972,43.068151,http://farm8.staticflickr.com/7062/6888465728_966862973c.jpg,62942199@N08,2012-04-01 15:26:52.0,0
0.33925509619509897,13657849593,6,141.35244,43.068281,http://farm8.staticflickr.com/7302/13657849593_73609485f3.jpg,94735786@N00,2010-02-09 17:51:04.0,0
0.34213654862157494,7786802252,6,141.352543,43.068166,http://farm9.staticflickr.com/8438/7786802252_c80df05918.jpg,56745428@N00,2012-08-15 04:34:55.0,0
0.3740307299933677,6888475624,6,141.352972,43.068213,http://farm8.staticflickr.com/7199/6888475624_6729bf6192.jpg,62942199@N08,2012-04-01 15:33:51.0,0
0.5190641984179799,8405397830,6,141.352645,43.068112,http://farm9.staticflickr.com/8356/8405397830_60348c64cb.jpg,73003003@N07,2012-12-27 10:14:45.0,0
0.5258019043243962,7994160881,6,141.352415,43.068174,http://farm9.staticflickr.com/8029/7994160881_0c86d5664e.jpg,73344268@N00,2012-09-17 09:52:25.0,0
0.5574161600405845,6888477854,6,141.352972,43.068182,http://farm8.staticflickr.com/7244/6888477854_de3170e635.jpg,62942199@N08,2012-04-01 15:35:56.0,0
0.5769793335923623,6902890161,6,141.352667,43.068248,http://farm8.staticflickr.com/7042/6902890161_e4db51e485.jpg,28685313@N00,2012-02-19 23:49:40.0,0
0.6768652616234834,6813943971,6,141.352667,43.068248,http://farm8.staticflickr.com/7160/6813943971_fdfb4849b2.jpg,28685313@N00,2012-02-04 07:17:30.0,0
